Translation Key,English Text,Arabic Text
artist.linkCopiedDescription,Artist profile link copied to clipboard,تم نسخ رابط صفحة الفنان إلى الحافظة
artist.noArtworks.description,This artist hasn't uploaded any artworks yet.,لم يقم هذا الفنان برفع أي أعمال فنية بعد.
artist.noArtworks.title,No artworks available,لا توجد أعمال فنية متاحة
artist.noArtworksDescription,This artist hasn't uploaded any artworks yet,لم يقم هذا الفنان برفع أي أعمال فنية بعد
artist.noArtworksTitle,No artworks available,لا توجد أعمال فنية متاحة
artist.noExhibitionsDescription,Exhibition history will be displayed here when available,سيتم عرض تاريخ المعارض هنا عند توفره
artist.noExhibitionsTitle,No exhibitions listed,لا توجد معارض مدرجة
artist.notFound,Artist not found,لم يتم العثور على الفنان
artist.primaryMedium,Primary Medium,الوسيط الأساسي
artist.share,Share,مشاركة
artist.shareText,Check out {{name}} on Artisan,تحقق من {{name}} على سوق آرت
artist.sidebar.age,Age,العمر
artist.sidebar.artworks,Artworks,الأعمال الفنية
artist.sidebar.follow,Follow Artist,متابعة الفنان
artist.sidebar.nationality,Nationality,الجنسية
artist.sidebar.quickInfo,Quick Info,معلومات سريعة
artist.sidebar.website,Visit Website,زيارة الموقع
artist.soloExhibitions,Solo Exhibitions,المعارض الفردية
artist.statistics,Statistics,الإحصائيات
artist.style,Style,الأسلوب
artist.tabs.about,About,نبذة
artist.tabs.artworks,Artworks,الأعمال الفنية
artist.totalArtworks,Total Artworks,إجمالي الأعمال الفنية
artist.totalSales,Total Sales,إجمالي المبيعات
artist.website,Website,الموقع الإلكتروني
artists.featured,Featured Artists,فنانون مميزون
artists.filters.allCountries,All Countries,جميع البلدان
artists.filters.nationality,Nationality,الجنسية
artists.noResults.clearFilters,Clear All Filters,مسح جميع المرشحات
artists.noResults.description,Try adjusting your search terms or filters to find artists.,حاول تعديل مصطلحات البحث أو المرشحات للعثور على الفنانين.
artists.noResults.title,No artists found,لم يتم العثور على فنانين
artists.results,{{count}} artists found,تم العثور على {{count}} فنان
artists.search.placeholder,Search artists by name...,البحث عن الفنانين بالاسم...
artists.sort.featured,Featured First,المميز أولاً
artists.sort.latest,Latest,الأحدث
artists.sort.name,Name A-Z,الاسم أ-ي
artists.subtitle,"Discover talented artists from Saudi Arabia and the GCC region, from emerging voices to established masters.","اكتشف الفنانين الموهوبين من المملكة العربية السعودية ومنطقة دول مجلس التعاون الخليجي، من الأصوات الناشئة إلى الأساتذة المؤسسين."
artists.title,Artists,الفنانون
artwork.artist,Artist,الفنان
artwork.description,Description,الوصف
artwork.details,Details,التفاصيل
artwork.favorite,Add to Favorites,إضافة للمفضلة
artwork.favoriteAdded,Added to Favorites,أُضيف للمفضلة
artwork.favoriteAddedDescription,This artwork has been added to your favorites.,تم إضافة هذا العمل الفني إلى مفضلتك.
artwork.favoriteRemoved,Removed from Favorites,أُزيل من المفضلة
artwork.favoriteRemovedDescription,This artwork has been removed from your favorites.,تم إزالة هذا العمل الفني من مفضلتك.
artwork.favorited,Favorited,مُضاف للمفضلة
artwork.gallery,Gallery,المعرض
artwork.inquire,Inquire,استفسار
artwork.inquiryEmail,Email,البريد الإلكتروني
artwork.inquiryEmailPlaceholder,your@email.com,your@email.com
artwork.inquiryMessage,Message,الرسالة
artwork.inquiryMessagePlaceholder,I'm interested in learning more about this artwork...,أنا مهتم بمعرفة المزيد عن هذا العمل الفني...
artwork.inquiryPhone,Phone (Optional),الهاتف (اختياري)
artwork.inquiryPhonePlaceholder,+966 XX XXX XXXX,+966 XX XXX XXXX
artwork.inquirySent,Inquiry Sent,تم إرسال الاستفسار
artwork.inquirySentDescription,Your inquiry has been sent to the gallery. They will contact you soon.,تم إرسال استفسارك إلى المعرض. سيتواصلون معك قريباً.
artwork.inquiryTitle,Inquire About This Artwork,استفسر عن هذا العمل الفني
artwork.linkCopied,Link Copied,تم نسخ الرابط
artwork.linkCopiedDescription,The artwork link has been copied to your clipboard.,تم نسخ رابط العمل الفني إلى الحافظة.
artwork.moreFromArtist,More from this Artist,المزيد من هذا الفنان
artwork.price,Price,السعر
artwork.sendInquiry,Send Inquiry,إرسال الاستفسار
artwork.share,Share,مشاركة
artwork.shareText,Check out this artwork: {{title}},تحقق من هذا العمل الفني: {{title}}
artwork.status.available,Available,متاح
artwork.status.on_auction,At Auction,في المزاد
artwork.status.sold,Sold,مُباع
auctions.auctionDetails,Auction Details,تفاصيل المزاد
auctions.auctionEnded,Auction Ended,انتهى المزاد
auctions.beFirstToBid,Be the first to bid!,كن أول من يقدم عرضاً!
auctions.biddingActivity,Bidding Activity,نشاط المزايدة
auctions.bids,bids,عروض
auctions.currentBid,Current Bid,العرض الحالي
auctions.description,Exceptional works from regional artists and galleries,أعمال استثنائية من فنانين ومعارض إقليمية
auctions.ended,Ended,انتهى
auctions.endingSoon,Ending Soon,ينتهي قريباً
auctions.endsIn,Ends in,ينتهي في
auctions.finalBid,Final bid,العرض النهائي
auctions.leading,Leading,رائد
auctions.live,Live,مباشر
auctions.liveBidding,Live bidding,مزايدة مباشرة
auctions.noAuctions.description,Check back later for new auction listings.,تحقق مرة أخرى لاحقاً لقوائم المزادات الجديدة.
auctions.noAuctions.title,No Auctions Available,لا توجد مزادات متاحة
auctions.noBidsYet,No bids yet,لا توجد عروض بعد
auctions.noLive.description,Check back soon for upcoming auctions.,تحقق مرة أخرى قريباً للمزادات القادمة.
auctions.noLive.title,No Live Auctions,لا توجد مزادات مباشرة
auctions.noUpcoming.description,All scheduled auctions are currently live or have ended.,جميع المزادات المجدولة مباشرة حالياً أو انتهت.
auctions.noUpcoming.title,No Upcoming Auctions,لا توجد مزادات قادمة
auctions.placeBid,Place Bid,تقديم عرض
auctions.startsIn,Starts in,يبدأ في
auctions.stats.live,Live Auctions,مزادات مباشرة
auctions.stats.total,Total Auctions,إجمالي المزادات
auctions.stats.totalBids,Total Bids,إجمالي العروض
auctions.stats.upcoming,Upcoming,قادمة
auctions.status.ended,Ended,انتهى
auctions.status.live,Live,مباشر
auctions.status.unknown,Unknown,غير معروف
auctions.status.upcoming,Upcoming,قادم
auctions.subtitle,Discover exceptional works from regional artists and galleries at live and upcoming auctions.,اكتشف أعمالاً استثنائية من فنانين ومعارض إقليمية في المزادات المباشرة والقادمة.
auctions.tabs.all,All Auctions,جميع المزادات
auctions.tabs.live,Live Auctions,مزادات مباشرة
auctions.tabs.upcoming,Upcoming,قادمة
auctions.termsAndConditions,Terms & Conditions,الشروط والأحكام
auctions.timeDays,{{count}} days,{{count}} أيام
auctions.timeEnded,Ended,انتهى
auctions.timeHours,{{count}} hours,{{count}} ساعات
auctions.timeRemaining.days,{{count}} days,{{count}} أيام
auctions.timeRemaining.hours,{{count}} hours,{{count}} ساعات
auctions.timeRemaining.minutes,{{count}} minutes,{{count}} دقائق
auctions.timeRemaining.title,Time Remaining,الوقت المتبقي
auctions.title,Auctions,المزادات
auctions.upcoming,Upcoming,قادم
auctions.updatesAutomatically,Updates automatically,التحديث تلقائياً
auctions.viewAll,View All Auctions,عرض جميع المزادات
auth.alreadyMember,Already a member?,لديك حساب بالفعل؟
auth.artSouk,Art Souk,سوق آرت
auth.backToHome,Back to Home,العودة للرئيسية
auth.badge,Premium Art Platform,منصة فنية متميزة
auth.benefits.auctions,Participate in exclusive live auctions,شارك في مزادات حية حصرية
auth.benefits.favorites,Save and organize your favorite artworks,احفظ ونظم أعمالك الفنية المفضلة
auth.benefits.inquiries,Direct contact with artists and galleries,تواصل مباشر مع الفنانين والمعارض
auth.benefits.personalized,Get personalized art recommendations,احصل على توصيات فنية شخصية
auth.features.collections,Premium Collections,مجموعات مميزة
auth.features.collectionsDesc,Access curated selections,اطلع على المختارات المنسقة
auth.features.community,Art Community,مجتمع الفن
auth.features.communityDesc,Join collectors and enthusiasts,انضم لجامعي الفنون والهواة
auth.features.discover,Discover Art,اكتشف الفن
auth.features.discoverDesc,Explore thousands of contemporary works,اكتشف آلاف الأعمال المعاصرة
auth.features.galleries,Top Galleries,أفضل المعارض
auth.features.galleriesDesc,Connect with leading GCC art spaces,تواصل مع المساحات الفنية الرائدة في الخليج
auth.getStarted,Get Started,ابدأ الآن
auth.joinBenefits,Why join Art Souk?,لماذا تنضم لسوق آرت؟
auth.joinCommunity,"Join our community of artists, collectors, and art enthusiasts",انضم إلى مجتمعنا من الفنانين وجامعي الفنون وعشاق الفن
auth.loggingInAgain,You are logged out. Logging in again...,لقد تم تسجيل خروجك. جاري تسجيل الدخول مرة أخرى...
auth.logout,Log Out,تسجيل الخروج
auth.required,Authentication Required,التوثيق مطلوب
auth.secureLogin,Secure login powered by,تسجيل دخول آمن مدعوم من
auth.signUpFree,Sign Up Free,سجل مجاناً
auth.signin,Sign In,تسجيل الدخول
auth.signup,Sign Up,إنشاء حساب
auth.subtitle,"Discover, collect, and connect with the vibrant Saudi and GCC contemporary art scene.",اكتشف واجمع وتواصل مع المشهد الفني المعاصر النابض بالحياة في السعودية ودول الخليج.
auth.trustedBy,Trusted by thousands of art lovers across the region,موثوق من قبل آلاف عشاق الفن في المنطقة
auth.unauthorized,Unauthorized,غير مصرح
auth.welcome,Welcome to,مرحباً بك في
cities.abuDhabi,Abu Dhabi,أبو ظبي
cities.doha,Doha,الدوحة
cities.dubai,Dubai,دبي
cities.jeddah,Jeddah,جدة
cities.kuwaitCity,Kuwait City,مدينة الكويت
cities.manama,Manama,المنامة
cities.muscat,Muscat,مسقط
cities.riyadh,Riyadh,الرياض
collections.featured.description,Curated selections showcasing the best of Saudi and GCC contemporary art,مجموعات منتقاة تعرض أفضل الفن المعاصر السعودي ودول مجلس التعاون
collections.featured.title,Featured Collections,مجموعات مميزة
collector.addToWishlist,Add to Wishlist,إضافة لقائمة الأمنيات
collector.carrier,Carrier,شركة الشحن
collector.currentPrice,Current Price,السعر الحالي
collector.estimatedDelivery,Estimated Delivery,التسليم المتوقع
collector.externalPaymentNote,Note: All payments are arranged directly between buyers and sellers outside the platform,ملاحظة: يتم ترتيب جميع المدفوعات مباشرة بين المشترين والبائعين خارج المنصة
collector.noOrders,No orders yet,لا توجد طلبات بعد
collector.noPurchases,No purchases yet,لا توجد مشتريات بعد
collector.noTracking,No tracking information available,لا توجد معلومات تتبع متاحة
collector.noWishlist,Your wishlist is empty,قائمة أمنياتك فارغة
collector.notifyWhenPriceDrops,Notify me when price drops below,أخطرني عندما ينخفض السعر إلى أقل من
collector.orderDetails,Order Details,تفاصيل الطلب
collector.orderStatus.cancelled,Cancelled,ملغي
collector.orderStatus.confirmed,Confirmed,مؤكد
collector.orderStatus.delivered,Delivered,تم التسليم
collector.orderStatus.pending,Pending,معلق
collector.orderStatus.processing,Processing,قيد المعالجة
collector.orderStatus.shipped,Shipped,تم الشحن
collector.orders,Orders,الطلبات
collector.paymentStatus.completed,Payment Completed,تم الدفع
collector.paymentStatus.failed,Payment Failed,فشل الدفع
collector.paymentStatus.pending,Payment Pending,الدفع معلق
collector.paymentStatus.refunded,Refunded,تم الاسترداد
collector.priceDropAlert,Price Drop Alert,تنبيه انخفاض السعر
collector.priority.high,High Priority,أولوية عالية
collector.priority.low,Low Priority,أولوية منخفضة
collector.priority.medium,Medium Priority,أولوية متوسطة
collector.purchaseHistory,Purchase History,سجل الشراء
collector.removeFromWishlist,Remove from Wishlist,إزالة من قائمة الأمنيات
collector.setPriceAlert,Set Price Alert,تعيين تنبيه السعر
collector.shipmentTracking,Shipment Tracking,تتبع الشحنة
collector.subtitle,Manage your art collection and purchases,إدارة مجموعتك الفنية ومشترياتك
collector.targetPrice,Target Price,السعر المستهدف
collector.title,Collector Dashboard,لوحة تحكم جامعي الفنون
collector.tracking,Tracking,التتبع
collector.trackingNumber,Tracking Number,رقم التتبع
collector.wishlist,Wishlist,قائمة الأمنيات
commissions.detail.subtitle,Review request details and place your bid,راجع تفاصيل الطلب وقدم عرضك
commissions.detail.title,Commission Details,تفاصيل العمولة
commissions.post.subtitle,Request custom artwork from talented artists,اطلب عملاً فنياً مخصصاً من الفنانين الموهوبين
commissions.post.title,Post Commission Request,نشر طلب خاص
commissions.requests.noRequests,No commission requests found,لا توجد طلبات خاصة
commissions.requests.noRequestsDescription,Be the first to post a commission request or check back later for new opportunities,كن أول من ينشر طلب خاص أو تحقق لاحقاً من الفرص الجديدة
commissions.requests.subtitle,Browse custom artwork requests from collectors,تصفح طلبات الأعمال الفنية المخصصة من جامعي الفنون
commissions.requests.title,Commission Requests,طلبات خاصة
common.allCategories,All Categories,جميع الفئات
common.allStatus,All Status,جميع الحالات
common.cancel,Cancel,إلغاء
common.completed,Completed,مكتمل
common.delete,Delete,حذف
common.edit,Edit,تعديل
common.error,Error,خطأ
common.featured,Featured,مميز
common.items,items,عناصر
common.loading,Loading...,جاري التحميل...
common.published,Published,منشور
common.save,Save,حفظ
common.sending,Sending...,جاري الإرسال...
common.siteName,Art Souk,سوق آرت
common.siteNameAr,سوق آرت,سوق آرت
common.upcoming,Upcoming,قادم
countries.bahrain,Bahrain,مملكة البحرين
countries.kuwait,Kuwait,دولة الكويت
countries.oman,Oman,سلطنة عُمان
countries.qatar,Qatar,دولة قطر
countries.saudiArabia,Saudi Arabia,المملكة العربية السعودية
countries.uae,United Arab Emirates,دولة الإمارات العربية المتحدة
curators.description,Fresh standout works handpicked by our regional art experts,أعمال بارزة جديدة منتقاة بعناية من قبل خبراء الفن الإقليميين
curators.title,Curators' Picks,اختيارات القيمين
curators.viewAll,View All Works,عرض جميع الأعمال
dashboard.accountSettings,Account Settings,إعدادات الحساب
dashboard.artworkRemoved,Artwork removed from your collection,تمت إزالة العمل الفني من مجموعتك
dashboard.artworkUpdates,Artwork Updates,تحديثات الأعمال الفنية
dashboard.auctionAlerts,Auction Alerts,تنبيهات المزادات
dashboard.browseArt,Browse Art,تصفح الفن
dashboard.collectorDashboard,Collector Dashboard,لوحة تحكم المجمع
dashboard.contactArtists,Contact artists and galleries about artworks you're interested in,تواصل مع الفنانين والمعارض حول الأعمال الفنية التي تهمك
dashboard.editProfile,Edit Profile,تعديل الملف الشخصي
dashboard.exploreArtworks,Explore Artworks,استكشف الأعمال الفنية
dashboard.following,Following,المتابعين
dashboard.inquiries,Inquiries,الاستفسارات
dashboard.inquiryStatus.closed,Closed,مغلق
dashboard.inquiryStatus.pending,Pending,معلق
dashboard.inquiryStatus.responded,Responded,تم الرد
dashboard.messageNotifications,Message Notifications,إشعارات الرسائل
dashboard.myCollection,My Collection,مجموعتي
dashboard.newsletter,Newsletter,النشرة الإخبارية
dashboard.noFavorites,No favorites yet,لا توجد مفضلات بعد
dashboard.noInquiries,No inquiries yet,لا توجد استفسارات بعد
dashboard.notificationPreferences,Notification Preferences,تفضيلات الإشعارات
dashboard.pendingInquiries,Pending Inquiries,استفسارات معلقة
dashboard.priceAlerts,Price Alerts,تنبيهات الأسعار
dashboard.profileForm.bio,Bio,نبذة عني
dashboard.profileForm.bioPlaceholder,Tell us about yourself...,أخبرنا عن نفسك...
dashboard.profileForm.cancel,Cancel,إلغاء
dashboard.profileForm.firstName,First Name,الاسم الأول
dashboard.profileForm.lastName,Last Name,اسم العائلة
dashboard.profileForm.location,Location,الموقع
dashboard.profileForm.phone,Phone,الهاتف
dashboard.profileForm.save,Save,حفظ
dashboard.profileSettings,Profile Settings,إعدادات الملف الشخصي
dashboard.profileUpdateSuccess,Your profile has been updated successfully.,تم تحديث ملفك الشخصي بنجاح.
dashboard.profileUpdated,Profile updated,تم تحديث الملف الشخصي
dashboard.quickStats,Quick Stats,إحصائيات سريعة
dashboard.removedFromFavorites,Removed from favorites,أُزيل من المفضلات
dashboard.saveSettings,Save Settings,حفظ الإعدادات
dashboard.sellerDashboard,Seller Dashboard,لوحة تحكم البائع
dashboard.settingsSaved,Settings saved,تم حفظ الإعدادات
dashboard.settingsUpdateSuccess,Your preferences have been updated successfully.,تم تحديث تفضيلاتك بنجاح.
dashboard.startExploring,Start exploring artworks to build your collection,ابدأ في استكشاف الأعمال الفنية لبناء مجموعتك
dashboard.tabs.favorites,Favorites,المفضلات
dashboard.tabs.inquiries,Inquiries,الاستفسارات
dashboard.tabs.settings,Settings,الإعدادات
dashboard.title,Dashboard,لوحة التحكم
dashboard.totalFavorites,Total Favorites,إجمالي المفضلات
dashboard.viewAnalytics,View Analytics,عرض التحليلات
dashboard.welcome,Welcome back,مرحباً بعودتك
editorial.author,Author,الكاتب
editorial.categories.art,Art,فن
editorial.categories.guide,Guide,دليل
editorial.categories.interview,Interview,مقابلة
editorial.categories.market,Art Market,سوق آرت
editorial.categories.news,News,أخبار
editorial.description,"Discover the stories behind the art, meet the artists, and explore the cultural movements shaping the contemporary Gulf art scene.","اكتشف القصص وراء الفن، تعرف على الفنانين، واستكشف الحركات الثقافية التي تشكل مشهد الفن المعاصر في الخليج."
editorial.featured,Featured Articles,مقالات مميزة
editorial.filters.allCategories,All Categories,جميع الفئات
editorial.filters.category,Category,الفئة
editorial.newsletter.description,"Get the latest art news, artist features, and exclusive content delivered to your inbox.",احصل على آخر أخبار الفن وميزات الفنانين والمحتوى الحصري في صندوق البريد الإلكتروني الخاص بك.
editorial.newsletter.placeholder,Enter your email,أدخل بريدك الإلكتروني
editorial.newsletter.subscribe,Subscribe,اشتراك
editorial.newsletter.title,Stay Updated,ابق على اطلاع
editorial.noResults.clearFilters,Clear Filters,مسح المرشحات
editorial.noResults.description,Try adjusting your search terms or filters to find what you're looking for.,حاول تعديل مصطلحات البحث أو المرشحات للعثور على ما تبحث عنه.
editorial.noResults.title,No articles found,لم يتم العثور على مقالات
editorial.results,{{count}} articles found,تم العثور على {{count}} مقال
editorial.search.placeholder,"Search articles, artists, topics...",البحث في المقالات والفنانين والمواضيع...
editorial.sort.featured,Featured,المميز
editorial.sort.latest,Latest,الأحدث
editorial.sort.popular,Most Popular,الأكثر شعبية
editorial.subtitle,Latest insights from the Saudi & GCC art world,آخر الرؤى من عالم الفن السعودي ودول مجلس التعاون
editorial.title,Editorial,المقالات
editorial.viewAll,View All Articles,عرض جميع المقالات
errors.401.action,,تسجيل الدخول
errors.401.message,,تحتاج إلى تسجيل الدخول للوصول إلى هذه الصفحة.
errors.401.title,,غير مصرح
errors.403.action,,العودة
errors.403.message,,ليس لديك إذن للوصول إلى هذا المورد.
errors.403.title,,محظور
errors.404.action,,الذهاب للرئيسية
errors.404.message,,الصفحة التي تبحث عنها غير موجودة.
errors.404.title,,الصفحة غير موجودة
errors.500.action,,إعادة المحاولة
errors.500.message,,حدث خطأ من جانبنا. يرجى المحاولة مرة أخرى لاحقاً.
errors.500.title,,خطأ في الخادم
errors.artistNotFound,Artist not found,الفنان غير موجود
errors.artistNotFoundDescription,The artist profile you're looking for doesn't exist or has been removed.,ملف الفنان الذي تبحث عنه غير موجود أو تم حذفه.
errors.artworkNotFound,Artwork not found,العمل الفني غير موجود
errors.artworkNotFoundDescription,The artwork you're looking for doesn't exist or has been removed.,العمل الفني الذي تبحث عنه غير موجود أو تم حذفه.
errors.general.action,,إعادة المحاولة
errors.general.message,,حدث خطأ ما. يرجى المحاولة مرة أخرى.
errors.general.title,,عفواً!
errors.generic,Something went wrong,حدث خطأ ما
errors.loadingArticles,Failed to load articles,فشل في تحميل المقالات
errors.loadingArtists,Failed to load artists,فشل في تحميل الفنانين
errors.loadingGalleries,Failed to load galleries,فشل في تحميل المعارض
errors.tryAgainLater,Please try again later.,يرجى المحاولة مرة أخرى لاحقاً.
events.about,About this Event,عن هذه الفعالية
events.all,All Events,جميع الفعاليات
events.attend,Attend,حضور
events.attendees,{{count}} attendees,{{count}} حاضر
events.attending,Attending,سأحضر
events.byInvitation,By Invitation,بدعوة
events.calendar.addToCalendar,Add to Calendar,إضافة إلى التقويم
events.calendar.appleCalendar,Apple Calendar,تقويم Apple
events.calendar.googleCalendar,Google Calendar,تقويم جوجل
events.calendar.outlookCalendar,Outlook Calendar,تقويم Outlook
events.categories.all,All Events,جميع الفعاليات
events.categories.auction,Auction,مزاد
events.categories.exhibition,Exhibition,معرض
events.categories.fair,Art Fair,معرض فني
events.categories.networking,Networking,تواصل
events.categories.opening,Opening,افتتاح
events.categories.talk,Talk,محاضرة
events.categories.workshop,Workshop,ورشة عمل
events.category,Category,الفئة
events.checkBackLater,Check back later for upcoming events,تحقق لاحقاً من الفعاليات القادمة
events.empty,No events found matching your criteria.,لم يتم العثور على فعاليات تطابق معاييرك.
events.featured,Featured Events,فعاليات مميزة
events.filter,Filter,تصفية
events.free,Free Event,فعالية مجانية
events.loading,Loading events...,جاري تحميل الفعاليات...
events.loginToRSVP,Please log in to RSVP for events,يرجى تسجيل الدخول لتأكيد الحضور للفعاليات
events.maybeAttending,Maybe,ربما
events.myEvents,My Events,فعالياتي
events.noEvents,No events scheduled,لا توجد فعاليات مجدولة
events.notAttending,Not Attending,لن أحضر
events.online,Online,عبر الإنترنت
events.organizer,Organizer,المنظم
events.past,Past Events,فعاليات سابقة
events.rsvp,RSVP,تأكيد الحضور
events.rsvpError,Error with RSVP,خطأ في تأكيد الحضور
events.rsvpFailed,RSVP Failed,فشل تأكيد الحضور
events.rsvpFailedDesc,Unable to RSVP for this event. Please try again.,غير قادر على تأكيد الحضور لهذه الفعالية. يرجى المحاولة مرة أخرى.
events.rsvpSuccess,RSVP Successful,تم تأكيد الحضور بنجاح
events.rsvpSuccessDesc,You've successfully RSVP'd as {{status}},لقد أكدت حضورك بنجاح كـ {{status}}
events.search,Search events...,البحث في الفعاليات...
events.status,Status,الحالة
events.subtitle,"Discover art exhibitions, openings, and cultural events",اكتشف المعارض الفنية والافتتاحات والفعاليات الثقافية
events.ticketed,Ticketed Event,تذاكر
events.title,Events,الفعاليات
events.upcoming,Upcoming Events,فعاليات قادمة
events.venue,Venue,المكان
footer.copyright,© 2025 Souk Art. All rights reserved.,© 2025 سوق آرت. جميع الحقوق محفوظة.
footer.explore.title,Explore,استكشف
footer.newsletter.description,"Get the latest news from the Saudi and GCC art world, including new artist features, exclusive exhibitions, and market insights.","احصل على آخر الأخبار من عالم الفن السعودي ودول مجلس التعاون، بما في ذلك ميزات الفنانين الجدد والمعارض الحصرية ورؤى السوق."
footer.newsletter.placeholder,Enter your email,أدخل بريدك الإلكتروني
footer.newsletter.subscribe,Subscribe,اشتراك
footer.newsletter.title,Stay Connected,ابق على تواصل
footer.resources.guide,Art Guide,دليل الفن
footer.resources.investment,Investment Tips,نصائح الاستثمار
footer.resources.support,Support,الدعم
footer.resources.title,Resources,الموارد
galleries.contact,Contact,اتصال
galleries.featured,Featured Galleries,معارض مميزة
galleries.filters.allLocations,All Locations,جميع المواقع
galleries.filters.location,Location,الموقع
galleries.noResults.clearFilters,Clear All Filters,مسح جميع المرشحات
galleries.noResults.description,Try adjusting your search terms or filters to find galleries.,حاول تعديل مصطلحات البحث أو المرشحات للعثور على المعارض.
galleries.noResults.title,No galleries found,لم يتم العثور على معارض
